local_timezone,episode_id,device_id,call_type,trace,start_timestamp,end_timestamp,timestamp,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
America/New_York,0,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,d5e84f8af01b2728021d4f43f53a163c0c90000c,1587663260695,1587663274695,1587663260695,2020-04-23 13:34:20,2020-04-23,13:34:20,13,34,"[daily_RR0SS#2020-04-23 00:00:00,2020-04-23 23:59:59;1587614400000,1587700799999]"
America/New_York,0,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,d5e84f8af01b2728021d4f43f53a163c0c90000c,1587663260695,1587663274695,1587663274695,2020-04-23 13:34:34,2020-04-23,13:34:34,13,34,"[daily_RR0SS#2020-04-23 00:00:00,2020-04-23 23:59:59;1587614400000,1587700799999]"
America/New_York,1,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,47c125dc7bd163b8612cdea13724a814917b6e93,1587739118007,1587739118007,1587739118007,2020-04-24 10:38:38,2020-04-24,10:38:38,10,38,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,1,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,47c125dc7bd163b8612cdea13724a814917b6e93,1587739118007,1587739118007,1587739118007,2020-04-24 10:38:38,2020-04-24,10:38:38,10,38,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,2,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,9cc793ffd6e88b1d850ce540b5d7e000ef5650d4,1587746544891,1587746604890,1587746544891,2020-04-24 12:42:24,2020-04-24,12:42:24,12,42,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,2,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,9cc793ffd6e88b1d850ce540b5d7e000ef5650d4,1587746544891,1587746604890,1587746604890,2020-04-24 12:43:24,2020-04-24,12:43:24,12,43,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,2,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,9cc793ffd6e88b1d850ce540b5d7e000ef5650d4,1587746604891,1587746639891,1587746604891,2020-04-24 12:43:24,2020-04-24,12:43:24,12,43,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,2,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,9cc793ffd6e88b1d850ce540b5d7e000ef5650d4,1587746604891,1587746639891,1587746639891,2020-04-24 12:43:59,2020-04-24,12:43:59,12,43,"[daily_RR0SS#2020-04-24 00:00:00,2020-04-24 23:59:59;1587700800000,1587787199999]"
America/New_York,3,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,51fb9344e988049a3fec774c7ca622358bf80264,1587911379859,1587911439858,1587911379859,2020-04-26 10:29:39,2020-04-26,10:29:39,10,29,"[daily_RR0SS#2020-04-26 00:00:00,2020-04-26 23:59:59;1587873600000,1587959999999]"
America/New_York,3,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,51fb9344e988049a3fec774c7ca622358bf80264,1587911379859,1587911439858,1587911439858,2020-04-26 10:30:39,2020-04-26,10:30:39,10,30,"[daily_RR0SS#2020-04-26 00:00:00,2020-04-26 23:59:59;1587873600000,1587959999999]"
America/New_York,3,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,51fb9344e988049a3fec774c7ca622358bf80264,1587911439859,1587911442859,1587911439859,2020-04-26 10:30:39,2020-04-26,10:30:39,10,30,"[daily_RR0SS#2020-04-26 00:00:00,2020-04-26 23:59:59;1587873600000,1587959999999]"
America/New_York,3,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,51fb9344e988049a3fec774c7ca622358bf80264,1587911439859,1587911442859,1587911442859,2020-04-26 10:30:42,2020-04-26,10:30:42,10,30,"[daily_RR0SS#2020-04-26 00:00:00,2020-04-26 23:59:59;1587873600000,1587959999999]"
America/New_York,4,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,2a862a7730cfdfaf103a9487afe3e02935fd6e02,1587992647361,1587992647361,1587992647361,2020-04-27 09:04:07,2020-04-27,09:04:07,9,4,"[daily_RR0SS#2020-04-27 00:00:00,2020-04-27 23:59:59;1587960000000,1588046399999]"
America/New_York,4,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,2a862a7730cfdfaf103a9487afe3e02935fd6e02,1587992647361,1587992647361,1587992647361,2020-04-27 09:04:07,2020-04-27,09:04:07,9,4,"[daily_RR0SS#2020-04-27 00:00:00,2020-04-27 23:59:59;1587960000000,1588046399999]"
America/New_York,5,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,1,a2c53f6a086d98622c06107780980cf1bb4e37bd,1588020039448,1588020050448,1588020039448,2020-04-27 16:40:39,2020-04-27,16:40:39,16,40,"[daily_RR0SS#2020-04-27 00:00:00,2020-04-27 23:59:59;1587960000000,1588046399999]"
America/New_York,5,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,1,a2c53f6a086d98622c06107780980cf1bb4e37bd,1588020039448,1588020050448,1588020050448,2020-04-27 16:40:50,2020-04-27,16:40:50,16,40,"[daily_RR0SS#2020-04-27 00:00:00,2020-04-27 23:59:59;1587960000000,1588046399999]"
America/New_York,6,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,56589df8c830c70e330b644921ed38e08d8fd1f3,1588176189024,1588176249023,1588176189024,2020-04-29 12:03:09,2020-04-29,12:03:09,12,3,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
America/New_York,6,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,56589df8c830c70e330b644921ed38e08d8fd1f3,1588176189024,1588176249023,1588176249023,2020-04-29 12:04:09,2020-04-29,12:04:09,12,4,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
America/New_York,6,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,56589df8c830c70e330b644921ed38e08d8fd1f3,1588176249024,1588176254024,1588176249024,2020-04-29 12:04:09,2020-04-29,12:04:09,12,4,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
America/New_York,6,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,2,56589df8c830c70e330b644921ed38e08d8fd1f3,1588176249024,1588176254024,1588176254024,2020-04-29 12:04:14,2020-04-29,12:04:14,12,4,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
America/New_York,7,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,cab458018a8ed3b626515e794c70b6f415318adc,1588197745079,1588197745079,1588197745079,2020-04-29 18:02:25,2020-04-29,18:02:25,18,2,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
America/New_York,7,a748ee1a-1d0b-4ae9-9074-279a2b6ba524,3,cab458018a8ed3b626515e794c70b6f415318adc,1588197745079,1588197745079,1588197745079,2020-04-29 18:02:25,2020-04-29,18:02:25,18,2,"[daily_RR0SS#2020-04-29 00:00:00,2020-04-29 23:59:59;1588132800000,1588219199999]"
